Status_Milestone_Guide_RNAs,Description,Authors,Sex,Data_Repository,Tissue_ID,Name,Status_Milestone_Germ_line_transmission,Tissue,Gene,Endpoint,Data_page_link,Data_Link,Expression_data,Assay_ID,Status_Milestone_Anatomic_survey,Status_Milestone_Embryo_injection,Repository_page_link,Data_Format,Provider_institution,Endpoint_detection,Status_Milestone_Validation_of_expression,Status_Milestone_Detailed_expression,PI,Status_Milestone_Mouse_available,MMRRC_ID,id,pharosReady
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",female,amis.docking.org,UBERON:0002114,FLAG-TAS2R4-IRES-CRExAi9_duodenum_female,Complete,duodenum,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=duodenum,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=duodenum,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/3a57d714-4182-474e-8d59-06e4827234f2,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",female,amis.docking.org,UBERON:0000019,FLAG-TAS2R4-IRES-CRExAi9_eyes_female,Complete,camera-type eye,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=eyes,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=eyes,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/d2a2c8e8-9729-4b5b-9220-1625eb377572,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",male,amis.docking.org,UBERON:0000948,FLAG-TAS2R4-IRES-CRExAi9_heart_male,Complete,heart,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=heart,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=heart,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/40c21961-0674-4c21-954a-0f50ba9300d2,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",female,amis.docking.org,UBERON:0000948,FLAG-TAS2R4-IRES-CRExAi9_heart_female,Complete,heart,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=heart,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=heart,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/94247259-1836-4f58-a95d-4709001b2726,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",male,amis.docking.org,UBERON:0002116,FLAG-TAS2R4-IRES-CRExAi9_ileum_male,Complete,ileum,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=ileum,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=ileum,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/b4a9071d-39a9-4e7e-8e6c-fcd44549a79e,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",female,amis.docking.org,UBERON:0002116,FLAG-TAS2R4-IRES-CRExAi9_ileum_female,Complete,ileum,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=ileum,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=ileum,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/bcfa6290-06f2-4caf-a5a8-0d36914195bd,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",male,amis.docking.org,UBERON:0002115,FLAG-TAS2R4-IRES-CRExAi9_jejunum_male,Complete,jejunum,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=jejunum,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=jejunum,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/d18e0cf4-ee5c-405c-a834-caad67f242a3,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",female,amis.docking.org,UBERON:0002115,FLAG-TAS2R4-IRES-CRExAi9_jejunum_female,Complete,jejunum,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=jejunum,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=jejunum,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/d7159272-a77b-4114-bdcd-171c00e8e51f,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",male,amis.docking.org,UBERON:0002113,FLAG-TAS2R4-IRES-CRExAi9_kidney_male,Complete,kidney,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=kidney,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=kidney,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/a0d0745f-5465-485f-bf4e-8b8ef40f4015,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",female,amis.docking.org,UBERON:0002113,FLAG-TAS2R4-IRES-CRExAi9_kidney_female,Complete,kidney,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=kidney,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=kidney,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/1e5c4a89-8cc5-4195-873d-34212751d3e7,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",male,amis.docking.org,UBERON:0002107,FLAG-TAS2R4-IRES-CRExAi9_liver_male,Complete,liver,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=liver,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=liver,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/48241b18-ee1f-4863-b902-cb7225fe0173,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",female,amis.docking.org,UBERON:0002107,FLAG-TAS2R4-IRES-CRExAi9_liver_female,Complete,liver,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=liver,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=liver,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/3f3f566f-35bb-4e22-a59f-a926e8326bd9,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",male,amis.docking.org,UBERON:0002048,FLAG-TAS2R4-IRES-CRExAi9_lung_male,Complete,lung,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=lung,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=lung,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/8703a447-8771-4801-a66f-9a34515bd306,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",female,amis.docking.org,UBERON:0001134,FLAG-TAS2R4-IRES-CRExAi9_muscle_female,Complete,muscle organ,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=muscle,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=muscle,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/1f766d4c-c052-4d57-bc90-48bb95197138,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",female,amis.docking.org,UBERON:0002048,FLAG-TAS2R4-IRES-CRExAi9_lung_female,Complete,lung,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=lung,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=lung,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/6c03ebb4-ecf9-469b-a215-cdfa572b9652,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",male,amis.docking.org,UBERON:0001134,FLAG-TAS2R4-IRES-CRExAi9_muscle_male,Complete,muscle organ,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=muscle,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=muscle,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/e77e803f-5b5f-4bdf-bbea-6808974e5e7c,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",female,amis.docking.org,UBERON:0000992,FLAG-TAS2R4-IRES-CRExAi9_ovary_female,Complete,ovary,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=ovary,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=ovary,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/f6e34cce-8089-49a1-855f-9af979a71ec6,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",male,amis.docking.org,UBERON:0001264,FLAG-TAS2R4-IRES-CRExAi9_pancreas_male,Complete,pancreas,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=pancreas,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=pancreas,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/d2374a65-5093-450c-a6b5-29f62b91d350,true
